sequence,n_events,a_hat,k,R2,max_mag,max_mag_pos,total_energy_log
seq_0,29,0.19921443019412804,99.99999999999999,0.9692994655042397,6.2,0.0,14.16792396980194
seq_1,39,0.4038828299519602,99.99999999999599,0.9538123040874623,6.6,0.42105263157894735,14.785832149587765
seq_2,14,0.23351559561215113,7.594305652547686,0.9132165154777213,5.7,0.15384615384615385,13.700308527293341
seq_3,274,0.42612446493378436,99.9999999999994,0.9804274440718969,5.5,0.42857142857142855,13.149094037381717
seq_4,11,0.3457966710326962,7.099556878382048,0.9673504421141309,3.3,0.0,10.438902101741608
seq_5,18,0.56217119206984,4.578710264261561,0.9407806843137867,3.8,0.9411764705882353,11.024703394999895
seq_6,9,0.7796677809576231,61.706123837484036,0.9643474300077731,3.8,0.875,10.574484702831134
seq_7,14,0.40318708983324447,4.031950078009679,0.9531139979026633,3.1,0.07692307692307693,10.060105725300048
seq_8,8,0.5036919808891991,2.72536304496167,0.6910213482539314,3.5,0.14285714285714285,10.434730049871513
seq_9,12,0.4969080044085649,32.58147354664515,0.9106480503333024,4.0,0.5454545454545454,11.11816299327067
seq_10,9,0.21903409988080558,22.99036119222282,0.9481802590705689,3.3,0.25,9.99177489901378
seq_11,9,0.1818707204702367,99.99682702313052,0.9995949860333064,5.3,0.25,12.75077993323251
seq_12,10,0.4997527069601251,54.62438610608461,0.998370402406322,3.9,0.5555555555555556,10.708620526951963
seq_13,144,0.6355583746097568,32.479291638689304,0.9599206822922307,4.8,0.6433566433566433,12.23447405485261
seq_14,11,0.6558457532354434,45.96724549165941,0.9975418226497013,4.0,0.7,10.89867241632988
seq_15,74,0.7127895590171127,6.994045435019875,0.9255170680960119,4.2,0.863013698630137,11.496548769662601
seq_16,9,0.21941852519378172,33.745510032763185,0.9259009106472346,3.7,0.25,10.55041692106251
seq_17,8,0.8836323517744827,99.9999646166189,0.9887232057377389,4.2,1.0,11.133900931805934
seq_18,14,0.3375696138644156,92.12008097317079,0.997814539080257,4.6,0.38461538461538464,11.740240006780155
seq_19,11,0.6965142402786244,9.294616825370026,0.9156723666378583,5.0,0.6,12.602602416204832
seq_20,103,0.48023668761451127,5.218029492963756,0.8119973257774096,4.7,0.6568627450980392,12.140570622017629
seq_21,65,0.4202200249882883,3.3644892234340666,0.7874314631397565,4.4,0.765625,11.880860025218336
seq_22,34,0.6169877440152812,6.459851619698058,0.9730784363626465,3.7,0.7575757575757576,11.053317021920854
seq_23,10,0.45248750918635905,3.748316352002806,0.8096553492834386,3.5,0.0,10.611378451805656
seq_24,18,0.11960794794690095,4.605606338719791,0.7610734108555101,4.0,0.058823529411764705,11.010421015489195
seq_25,8,0.38918003313303684,12.33049988290972,0.9771012155466856,3.6,0.0,10.485933216063568
seq_26,10,0.27470214622497074,4.463691215906201,0.838602087003792,3.2,0.1111111111111111,10.096360081160137
seq_27,10,0.5067329601466734,6.8105597650201375,0.9889102305548476,3.0,0.3333333333333333,10.03415787727239
seq_28,8,0.3933391349007794,5.0949483820346995,0.9644756159774563,2.8,0.14285714285714285,9.678951585098988
seq_29,8,0.6463612761652833,24.985909725804177,0.9766857470956731,3.8,0.7142857142857143,10.657724087059607
seq_30,171,0.7331065490757532,4.020062912514542,0.8044354910321028,4.7,0.9176470588235294,12.147017784930856
seq_31,8,0.37711570136601474,7.248941584202649,0.9649796186459748,3.1,0.2857142857142857,9.895237213038701
seq_32,10,0.8144000332631305,24.082606597251704,0.9256607102661727,3.5,0.8888888888888888,10.266913893263464
seq_33,9,0.14089345781517118,10.197020471430715,0.870294377039904,3.4,0.125,10.185607417179575
seq_34,8,0.3624708702995361,55.88425328390859,0.999632681923802,4.2,0.42857142857142855,11.125025728550765
seq_35,26,0.5647527878171249,4.063354483797131,0.9404723339741208,3.3,0.84,10.562117181459412
seq_36,9,0.29565757469850484,3.9110434804823777,0.8274072878624557,3.4,0.125,10.208281175414221
seq_37,121,0.6028439228547366,99.99999999999999,0.9845694291051281,4.9,0.6083333333333333,12.275151319224616
seq_38,13,0.44599217237951416,35.49378672560118,0.9522204961252811,3.9,0.5,10.833761910816982
seq_39,12,0.23753221992243725,35.59306395141206,0.9772100872559606,3.9,0.2727272727272727,10.861564238869965
seq_40,8,0.7583614147118238,21.480817215120393,0.9422369380536874,3.3,0.8571428571428571,9.94935881951523
seq_41,41,0.5855862687021268,6.580846589492097,0.9603913927630215,3.9,0.6,11.295255321342504
seq_42,16,0.16984526045678602,59.24168575005152,0.9713380121256021,3.7,0.2,10.537327371077366
seq_43,10,0.6573984024364685,13.584998600413156,0.9462532788162604,4.3,0.7777777777777778,11.426314220542704
seq_44,10,0.606105206397379,99.99996677582646,0.9998143119040269,5.0,0.6666666666666666,12.302472874089892
seq_45,131,0.8789114275936911,4.062368530705935,0.7338154750142629,4.8,0.9615384615384616,12.240121886888591
seq_46,8,0.5029119416940369,4.9295927971479365,0.9698465986899407,2.8,0.42857142857142855,9.678951585098988
seq_47,15,0.8076787509315683,7.653884619916905,0.748546468950879,4.2,0.9285714285714286,11.260164171367961
seq_48,12,0.32094757947855407,93.85489079802593,0.9994853497959535,4.5,0.36363636363636365,11.570438650913484
seq_49,9,0.25998875150909556,7.774668861423125,0.9425840192833165,3.6,0.25,10.589765304111452
seq_50,10,0.6018985419338403,37.449350688396834,0.9849409419155076,3.9,0.6666666666666666,10.767168679693384
seq_51,9,0.595326715302803,8.82207833612088,0.9471761928388048,3.6,0.75,10.483723744898384
seq_52,88,0.24576019238369354,21.000151965071016,0.907064930077279,4.5,0.22988505747126436,11.909329776358131
seq_53,10,0.38526705272972134,15.424143207813112,0.9649964762456182,3.3,0.4444444444444444,10.095375037139393
seq_54,15,0.5315323570799204,61.591489479770615,0.9870248452969159,4.2,0.5714285714285714,11.22781884893796
seq_55,14,0.3451122896084161,99.99999073515494,0.9993637794820812,5.6,0.38461538461538464,13.200455469008059
seq_56,20,0.1311981946809241,99.99999999999999,0.9954422092249463,5.8,0.15789473684210525,13.50036598540836
seq_57,734,0.010000000016361992,99.99999999963991,0.6748595698462724,7.1,0.010914051841746248,15.453435287152994
seq_58,9,0.771782525873332,99.99629092874852,0.9973386937468085,4.0,0.875,10.850713436732173
seq_59,10,0.38521755724270534,26.047155456322663,0.978962152420659,3.6,0.4444444444444444,10.407433608087496
seq_60,12,0.5394383259621343,4.847567916759767,0.9525462608542805,3.3,0.9090909090909091,10.323767508997372
seq_61,87,0.2381455045169239,3.466873156371643,0.9268772643224704,4.2,0.011627906976744186,11.605405748905651
seq_62,9,0.8607189475371334,8.74614009057652,0.8093891035200255,3.8,1.0,10.65817031349231
