chat_id,n_turns,a_hat_full,a_hat_t5,delta_t5,a_hat_t8,delta_t8,a_hat_t10,delta_t10,a_hat_t12,delta_t12,a_hat_t15,delta_t15,a_hat_t20,delta_t20,a_hat_t25,delta_t25,a_hat_t30,delta_t30,a_hat_t40,delta_t40,a_hat_t50,delta_t50,first_stable_t,mal_mean
c0001,31,0.3232790983224739,0.874999998758012,0.5517209004355381,0.7217655130326949,0.39848641471022095,0.6532262264961531,0.3299471281736792,0.6334016992496869,0.310122600927213,0.5585191463554294,0.2352400480329555,0.46680092504865844,0.14352182672618452,0.3905298461731955,0.0672507478507216,0.332812394422925,0.00953329610045106,,,,,25.0,0.8620689655172413
c0002,131,0.09028082739670529,0.874999998758012,0.7847191713613068,0.7665583372108635,0.6762775098141582,0.6951588374994747,0.6048780101027694,0.591113583921865,0.5008327565251597,0.4828231090402851,0.3925422816435798,0.3790879963335454,0.2888071689368401,0.3355379869624123,0.24525715956570704,0.28096769009622147,0.19068686269951618,0.2292091508086163,0.13892832341191103,0.20010801158985644,0.10982718419315116,,0.4806201550387597
c0003,92,0.13634510085461257,0.874999998758012,0.7386548979033994,0.7083947716810175,0.5720496708264049,0.6448361209847849,0.5084910201301723,0.5922453330046888,0.45590023215007625,0.5138151649712739,0.3774700641166613,0.39929318303933586,0.2629480821847233,0.3287687226993535,0.1924236218447409,0.28849477492461933,0.15214967407000676,0.24090747315190833,0.10456237229729576,0.20482931187297077,0.0684842110183582,50.0,0.3829787234042553
c0004,49,0.23734476926016673,0.874999998758012,0.6376552294978453,0.8458849230207024,0.6085401537605357,0.7409486272883231,0.5036038580281563,0.6166505838581195,0.3793058145979528,0.49732653651943554,0.2599817672592688,0.4089771309661182,0.17163236170595148,0.3541153543625078,0.11677058510234106,0.3173098329129941,0.07996506365282735,0.24678207667896893,0.009437307418802193,,,30.0,0.2352941176470588
c0005,35,0.2056509279354261,0.871418924756726,0.6657679968213,0.7509290525450597,0.5452781246096337,0.6457374130643103,0.4400864851288842,0.5595613654309165,0.3539104374954904,0.44587235695404875,0.24022142901862265,0.3111926623760142,0.10554173444058806,0.26585537504279844,0.06020444710737233,0.23586239490788113,0.030211466972455026,,,,,25.0,0.5897435897435898
c0006,92,0.13040146302265518,0.874999998758012,0.7445985357353568,0.7602046675935388,0.6298032045708836,0.688774704396348,0.5583732413736928,0.6254161016347713,0.49501463861211614,0.5315333446939599,0.40113188167130465,0.40443537141859764,0.27403390839594244,0.34429724353501834,0.21389578051236316,0.29524343298224215,0.16484196995958697,0.23606298773979273,0.10566152471713755,0.19599372570832044,0.06559226268566526,50.0,0.2921348314606741
c0007,24,0.3970102484048702,0.9411758166492877,0.5441655682444175,0.7533356704141119,0.35632542200924167,0.6855271028676934,0.28851685446282316,0.6072894717524194,0.21027922334754923,0.5632121553966657,0.1662019069917955,0.4594507479932845,0.0624404995884143,,,,,,,,,20.0,0.3571428571428571
c0008,60,0.1577549991238716,0.874999998758012,0.7172449996341405,0.7648717669046998,0.6071167677808282,0.6938959168291017,0.5361409177052301,0.6152253468454675,0.4574703477215959,0.5019735882879055,0.3442185891640339,0.39003284957621853,0.23227785045234695,0.3267543198198809,0.16899932069600931,0.2818997359405311,0.1241447368166595,0.2206870913261699,0.06293209220229831,0.18193862832970867,0.02418362920583708,40.0,0.9344262295081968
c0009,368,0.03583597692981607,0.874999998758012,0.8391640218281959,0.7414996767225839,0.7056636997927678,0.6365265518307757,0.6006905749009596,0.5347439018336497,0.4989079249038337,0.4639245232172576,0.42808854628744153,0.35403839197287856,0.3182024150430625,0.3009373313513211,0.26510135442150506,0.2633843978715324,0.22754842094171632,0.21563140498069974,0.17979542805088367,0.18909802932542522,0.15326205239560914,,0.832
c0010,27,0.30758694997607067,0.874999998758012,0.5674130487819413,0.8207951543588886,0.5132082043828179,0.668686355981978,0.36109940600590734,0.5571227967328135,0.24953584675674284,0.44540861387974656,0.1378216639036759,0.390146865378075,0.08255991540200436,0.33110294468911644,0.023515994713045774,,,,,,,20.0,0.0
c0011,263,0.05850361492611016,0.874999998758012,0.8164963838319019,0.7194197057258903,0.6609160907997802,0.6117470708444854,0.5532434559183753,0.5484300631467103,0.4899264482206001,0.4738752831685128,0.4153716682424026,0.39977551126219785,0.3412718963360877,0.34602288566846073,0.28751927074235056,0.30433141363561333,0.24582779870950316,0.2461428027458664,0.18763918781975622,0.20889622210158346,0.1503926071754733,,0.5437956204379562
