event,type,start,end,n_days,total_return_pct,baseline_surprise,mean_excess,sigma_final,sigma_range,epsilon_final,a_hat_sigma_t,sigmoid_k_sigma_t,sigmoid_r2_sigma_t,a_hat_epsilon_t,sigmoid_k_epsilon_t,sigmoid_r2_epsilon_t,hooke_r2,hooke_E,hooke_p,a_hat_sigma_eps,sigmoid_k_sigma_eps,sigmoid_r2_sigma_eps,surp_1st_half,surp_2nd_half,surp_acceleration,status
DotCom,crash,2000-03-24,2002-10-09,638,-47.204275895955035,1.4346496507445434,0.3458225144328746,220.63476420817386,221.11769098151484,14.283298767119728,0.6227803451801889,1.8111165889027316,0.9693000941822643,0.8529840847734439,11.719601391111487,0.6318657159037064,0.23860128266632685,4.111805013639112,1.451173703563419e-39,0.8556141967598907,54.42347758648857,0.44433650105735834,0.31230983381166305,0.37933519505408614,0.06702536124242309,OK
GFC,crash,2007-10-09,2009-03-09,356,-54.76741504083743,1.0483893713380459,1.0119846180271028,360.26652401764863,360.70265242340304,1.0265689749314937,0.9731890277359206,3.2650927621929537,0.9887673459142265,0.010000000001076658,0.5000000000000012,0.0,0.10369578165884714,-20.61607305810583,4.941862991070911e-10,0.9899999999780175,0.5000000000000001,0.0,0.6475236968154262,1.3764455392387798,0.7289218424233536,OK
COVID,crash,2020-02-19,2020-03-23,24,-33.40034983586197,0.8403432048083249,2.5899893692692704,62.159744862462496,62.28744373779192,1.7810342022775496,0.48835395288525413,2.180230713281292,0.9898979291756308,0.7659139737472742,5.104531114496559,0.9962644299918403,0.9051580445055104,29.774804423105714,9.830168154317815e-13,0.5786781172603416,5.704994543033313,0.9315157536314842,2.3782419831451893,2.801736755393352,0.42349477224816257,OK
Bear2022,crash,2022-01-03,2022-10-12,196,-24.05922226084173,0.8924064049844485,0.9775849225580557,191.6066448213791,191.6213662545096,9.581589089640731,0.5028320655302325,2.2698711819257977,0.9973724663499755,0.7193988620522926,5.587429167480847,0.9988394979217138,0.9379996681597454,17.953465053603132,4.2998292879681645e-119,0.5029368108575556,2.273321472246078,0.9973506125451475,0.9634067374732818,0.9917631076428298,0.028356370169548062,OK
Aug2011,correction,2011-07-07,2011-10-03,62,-17.519775621631027,0.9431025000856376,1.2556469529291665,77.85011108160829,77.40797517122645,3.5113039125247827,0.4450333436856498,5.107110250146668,0.9862667002890817,0.7078148785503019,5.381725667432694,0.9983946879595339,0.9106942799192795,21.177289301115387,3.606306536703562e-33,0.4450333436856498,5.107110250146668,0.9862667002890817,1.3502784485013193,1.1610154573570133,-0.189262991144306,OK
Aug2015,correction,2015-07-20,2015-09-29,51,-11.00432672225663,0.9072719766263577,0.7806331607768949,39.812291199621626,40.26254634023057,1.2870068804348445,0.5544725023217604,11.869679396685461,0.9834727627347403,0.7861783086251142,12.986500087098909,0.9717237213059009,0.686768410131314,27.88038364290166,6.041198844248843e-14,0.609086588537607,58.95662821730497,0.8385444856731411,0.4549485962637565,1.0937913958856815,0.638842799621925,OK
VolPocalyps,correction,2018-01-26,2018-03-23,40,-8.54799633349933,0.4665045852616668,1.492821074050515,59.71284296202062,58.07107389537323,3.8492694864835224,0.14735216856050048,3.9573901093653263,0.9711220135338243,0.7028807780202537,4.301039712113841,0.994753951779437,0.8126764977422712,10.824556053616602,2.142970348008762e-15,0.3564143154034461,4.81613355526909,0.8745431250490914,1.8350850469777373,1.1505571011232931,-0.6845279458544442,OK
Q4_2018,correction,2018-09-20,2018-12-24,66,-18.695351083539848,0.9405643411174258,0.8754066071892366,57.7768360744896,62.45745224100656,-3.02236449411059,0.35497730242242576,2.601922339030583,0.963390027084163,0.9899999999999991,0.5000000000000001,0.0,0.7696851330309337,-19.20622646500187,4.429475855942412e-22,0.010000000000590963,0.5000000000000017,0.0,0.8315408243710112,0.9192723900074622,0.08773156563645101,OK
Aug2019,correction,2019-07-26,2019-10-02,48,-3.5366078411981583,1.0481285290971816,0.4843500213948866,23.24880102695456,24.423229860176622,1.5998904325077716,0.15985573178273718,9.669805658979312,0.967096922729362,0.6589154676946235,5.205216432360618,0.9989961908405006,0.4994617996557806,9.813336708035166,1.9831325668132718e-08,0.1719680723758976,9.939348676230793,0.9575617700914528,0.8733978771877379,0.09530216560203515,-0.7780957115857027,OK
Tariff2025,correction,2025-02-19,2025-04-08,35,-18.56391191159201,0.9966940443675384,1.1477548057288294,40.171418200509024,40.80500177611967,1.029293934483953,0.9899999999999999,2.8238638379969516,0.9105965094041502,0.9889459969091261,3.0544781373488976,0.9862012359117822,0.9053389847520695,34.43578345395359,1.847240827858439e-18,0.9899999999999999,2.8238638379969516,0.9105965094041502,0.8120409278235811,1.4648179126393417,0.6527769848157606,OK
