PK_Nr,Sortierklasse,A_cm2,sigma_max,E_mod,n_points,a_hat,k_hat,rmse,method,force_col_header,strain_col_header,QC_flag,grade,density_kg_m3,moisture_pct,failure_mode,grain_angle_class,clamping_pressure,grade_m,outlier_ahat
5,s 10,5.038048,49.52756038896414,13.497973821741208,2672,0.5403583833777761,6.377948086221776,0.0720064604628775,sigmoid,Kraft [kN],e_sensor,1,S10,413.7570237562618,10.548839248305898,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S10,0
11,s 10,5.158092000000001,52.85749238163064,13.098372219346368,2772,0.5306123196725425,6.167735137736301,0.0683312604950847,sigmoid,Kraft [kN],e_sensor,1,S10,405.2851738331503,11.096258441524181,Zug-/Schubversagen,<12,60 bar,S10,0
12,s 10,5.110284999999999,59.93829264170199,17.061633641543164,3811,0.5238235594700965,5.922826287902803,0.059069354139627,sigmoid,Kraft [kN],e_sensor,1,S10,456.4579882479755,11.222436443809261,Schubversagen,<7,60 bar,S10,0
45,s 10,5.163390000000001,39.94280374666643,11.273432260307109,2012,0.5557296704201582,7.439943553052756,0.0796835620593084,sigmoid,Kraft [kN],e_sensor,1,S10,384.8423434044162,10.981969308659437,Zug-/Schubversagen,<12,60 bar,S10,0
48,s 10,5.1619,52.11095205980356,14.826100663188322,2850,0.5319319132166895,6.294289157250563,0.0700069151810142,sigmoid,Kraft [kN],e_sensor,1,S10,393.37040391126106,10.76545000861465,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
49,s 10,5.163644,42.83568021439898,15.521211394687876,2323,0.5506547104587262,6.827090469922467,0.074608741002742,sigmoid,Kraft [kN],e_sensor,1,S10,404.44657630798105,11.013714219902354,Zug-/Schubversagen,<7,80 bar,S10,0
60,s 10,5.202188,54.97227951248591,13.556416545435466,3205,0.5277030869910454,6.101634183449206,0.0642743730445614,sigmoid,Kraft [kN],e_sensor,1,S10,380.94781871707346,11.525855739321994,Schubversagen,<7,80 bar,S10,0
92,s 10,5.056011,41.396784472235126,11.321804269965725,2133,0.5567884521020372,7.316245449779518,0.0814076487705901,sigmoid,Kraft [kN],e_sensor,1,S10,354.0845561337851,10.590180803055263,Zug-/Schubversagen,<12,60 bar,S10,0
102,s 10,5.151045,46.16235258452412,12.32443436048585,2679,0.5410238929961899,6.669562526834657,0.0699496680678411,sigmoid,Kraft [kN],e_sensor,1,S10,395.18731757174896,11.558178438825923,Zug-/Schubversagen,<7,60 bar,S10,0
107,s 10,5.066121,40.46289881474407,10.8359577002612,2011,0.5574443797995133,7.55050678773765,0.0822921237159685,sigmoid,Kraft [kN],e_sensor,1,S10,392.68568462227876,11.52742057005151,Zug-/Schubversagen,<7,60 bar,S10,0
111,s 10,5.12169,35.55769448780578,14.11547739339898,2184,0.575903841776964,8.404904991686488,0.0779371979299498,sigmoid,Kraft [kN],e_sensor,1,S10,387.40342969612726,10.454090787551106,Zug-/Schubversagen,<7,60 bar,S10,0
129,s 10,5.201395000000001,38.98266489686901,11.369717971733678,1984,0.5577950517022139,7.537532583508949,0.0799292242187072,sigmoid,Kraft [kN],e_sensor,1,S10,383.5439158866883,10.381489524734544,Einspannung,<7,60 bar,S10,0
133,s 10,5.086273,27.78839731960907,10.239630033405655,1375,0.6309958225733746,11.575496180814795,0.0763796272823805,sigmoid,Kraft [kN],e_sensor,1,S10,383.7376388076282,9.691001955507241,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S10,0
136,s 10,5.103152,45.48216903494155,12.533010683601612,2274,0.5430666315537704,6.849079565048253,0.0769200466714405,sigmoid,Kraft [kN],e_sensor,1,S10,383.8688859730667,10.55607348083409,Splitternder Bruch,<7,60 bar,S10,0
140,s 10,5.017881,41.84494006284724,11.395553431591312,2176,0.5550196664108991,7.326456994782918,0.0791963235298493,sigmoid,Kraft [kN],e_sensor,1,S10,397.3492710051374,9.976256280724616,Einspannung,<7,60 bar,S10,0
143,s 10,5.130765,57.32009505405139,13.741271706045724,3001,0.5264736064515617,6.038009302706515,0.0671482093760342,sigmoid,Kraft [kN],e_sensor,1,S10,401.222138315212,10.797818155965041,Zug-/Schubversagen,<7,60 bar,S10,0
156,s 10,5.076191999999999,50.652534850435146,17.004337377364035,2585,0.5347518936149939,6.425196314803482,0.0726280543788241,sigmoid,Kraft [kN],e_sensor,1,S10,446.27678288838706,11.06553779620707,Zug-/Schubversagen an Ästen,<7,60 bar,S10,0
185,s 10,5.15542,52.52788342778087,13.728777448023816,2807,0.5298271106349496,6.28454499611661,0.0689307948834882,sigmoid,Kraft [kN],e_sensor,1,S10,400.61585631721783,10.71032546491683,Zug-/Schubversagen,<7,60 bar,S10,0
195,s 10,5.11161,52.64389470122916,11.15011038637401,3366,0.5298970753750951,6.365338023892821,0.0640923193738031,sigmoid,Kraft [kN],e_sensor,1,S10,366.0546266386037,10.544310703509165,Zug-/Schubversagen im Einspannbereich,<12,60 bar,S10,0
211,s 10,5.154134,21.541002784124355,5.7181814229684615,1075,0.734080455269161,21.30135874956153,0.0727285938824749,sigmoid,Kraft [kN],e_sensor,1,S10,369.03945507518904,8.94214973807934,Zug-/Schubversagen,<12,60 bar,S10,0
214,s 10,5.233178,49.45964255013875,10.559798483723856,2542,0.5341100320076928,6.448793490993014,0.0740820648891889,sigmoid,Kraft [kN],e_sensor,1,S10,363.2122611947066,9.405102777643187,Einspannung,<7,60 bar,S10,0
229,s 10,4.986008,43.06133487075232,12.021030692377032,2101,0.5517046685422667,7.264387062107221,0.0808871015132511,sigmoid,Kraft [kN],e_sensor,1,S10,400.72339073327555,10.509819074154903,Zug-/Schubversagen an Ästen,<7,60 bar,S10,0
